"","moduleLabels","moduleColors"
"PTBP2",1,"turquoise"
"OGA",2,"blue"
"SETD7",1,"turquoise"
"VANGL1",3,"brown"
"CHAF1B",1,"turquoise"
"NDUFA3",1,"turquoise"
"KIAA1328",1,"turquoise"
"DESI2",0,"grey"
"SHARPIN",0,"grey"
"TTC23",1,"turquoise"
"UGP2",0,"grey"
"ANKIB1",0,"grey"
"CIRBP",0,"grey"
"SEC14L4",1,"turquoise"
"GPRIN3",0,"grey"
"PPM1F",1,"turquoise"
"TSR1",1,"turquoise"
"ZFHX3",0,"grey"
"PCSK5",0,"grey"
"HEMK1",1,"turquoise"
"SCRIB",0,"grey"
"RSRC2",0,"grey"
"CUX1",3,"brown"
"UNC119",0,"grey"
"TBCK",0,"grey"
"CDC42SE2",3,"brown"
"EIF2S2",0,"grey"
"CKAP5",0,"grey"
"RNF130",0,"grey"
"SMIM15",0,"grey"
"KYAT3",0,"grey"
"ANK3",1,"turquoise"
"QRSL1",1,"turquoise"
"CCL15",1,"turquoise"
"MORC2",0,"grey"
"DIS3L",1,"turquoise"
"KITLG",0,"grey"
"STRN4",1,"turquoise"
"HDGF",0,"grey"
"ENSG00000288681",2,"blue"
"SETX",2,"blue"
"DDR2",0,"grey"
"KCTD12",2,"blue"
"MAP4K4",13,"salmon"
"PAQR9",0,"grey"
"STX16",0,"grey"
"DLAT",0,"grey"
"KIF21B",0,"grey"
"FEZ2",0,"grey"
"CDC5L",0,"grey"
"IGIP",0,"grey"
"TMEM119",1,"turquoise"
"GNGT2",0,"grey"
"APLF",17,"grey60"
"WNK1",9,"magenta"
"GSDMD",0,"grey"
"PPA1",4,"yellow"
"ST7",3,"brown"
"ATCAY",1,"turquoise"
"TM4SF19",0,"grey"
"PDHB",0,"grey"
"ERN1",1,"turquoise"
"RFLNB",0,"grey"
"KRBOX4",1,"turquoise"
"FBXO32",0,"grey"
"PCDHGA6",1,"turquoise"
"CLPP",0,"grey"
"MTMR3",2,"blue"
"PAM16",1,"turquoise"
"ATP1B3",0,"grey"
"TRIM25",2,"blue"
"CRKL",0,"grey"
"GATM",6,"red"
"ANP32B",4,"yellow"
"RASA3",3,"brown"
"AP4E1",1,"turquoise"
"PGD",0,"grey"
"ITPRIP",2,"blue"
"ZNF133",1,"turquoise"
"H2BC15",1,"turquoise"
"DHX36",0,"grey"
"PHTF2",3,"brown"
"APPL1",0,"grey"
"RAB43",0,"grey"
"WAC",2,"blue"
"CDKAL1",1,"turquoise"
"DAPL1",1,"turquoise"
"VAV3",3,"brown"
"STXBP3",2,"blue"
"EIF3G",4,"yellow"
"NPC1",0,"grey"
"NPFFR1",1,"turquoise"
"H2AC20",0,"grey"
"ALDH9A1",0,"grey"
"ZNF600",1,"turquoise"
"SLC18B1",0,"grey"
"ZNF678",15,"midnightblue"
"PITPNB",0,"grey"
"RASSF1",0,"grey"
"ADD2",1,"turquoise"
"PKD2L2",1,"turquoise"
"LRP11",1,"turquoise"
"CDKL1",1,"turquoise"
"C11orf54",1,"turquoise"
"ATMIN",0,"grey"
"HCAR1",1,"turquoise"
"BTG3",1,"turquoise"
"PAK2",2,"blue"
"ATP2B1",2,"blue"
"ATF7IP2",0,"grey"
"SLC25A43",0,"grey"
"UBE2J2",0,"grey"
"VARS1",0,"grey"
"GNL2",0,"grey"
"KLHL24",1,"turquoise"
"CCDC88A",0,"grey"
"SGPP1",0,"grey"
"TRAPPC6B",0,"grey"
"ZNHIT6",0,"grey"
"BORCS8",1,"turquoise"
"RAB2A",0,"grey"
"PLCE1",1,"turquoise"
"DLG1",1,"turquoise"
"TFIP11",0,"grey"
"GSKIP",18,"lightgreen"
"PIGX",0,"grey"
"POLR2G",0,"grey"
"GRAP2",3,"brown"
"CNBP",1,"turquoise"
"HSPB1",0,"grey"
"IGF1",0,"grey"
"ITPK1",0,"grey"
"G3BP1",0,"grey"
"NT5DC1",0,"grey"
"POLK",0,"grey"
"RBM15",0,"grey"
"AMZ2",0,"grey"
"PAIP1",0,"grey"
"UBB",9,"magenta"
"TCF25",1,"turquoise"
"SLC38A5",9,"magenta"
"TOP3A",1,"turquoise"
"MINDY1",0,"grey"
"BBC3",0,"grey"
"PI4KB",0,"grey"
"OAZ2",2,"blue"
"FADS1",0,"grey"
"RHOT1",2,"blue"
"ARL4A",9,"magenta"
"USE1",1,"turquoise"
"PCGF3",0,"grey"
"HNMT",0,"grey"
"CYP2C19",1,"turquoise"
"APOBR",1,"turquoise"
"RWDD2A",1,"turquoise"
"PALLD",0,"grey"
"MAP3K20",0,"grey"
"KPNA2",0,"grey"
"TMCO3",1,"turquoise"
"KATNB1",0,"grey"
"GHR",6,"red"
"CCDC124",0,"grey"
"BCLAF1",2,"blue"
"GOLGA3",1,"turquoise"
"CLEC4E",2,"blue"
"MGAT4B",3,"brown"
"GLE1",0,"grey"
"SERPINB9",1,"turquoise"
"KNTC1",1,"turquoise"
"LAIR1",1,"turquoise"
"GTF3C3",0,"grey"
"LRRC8D",0,"grey"
"METTL2B",1,"turquoise"
"DNAJC5",0,"grey"
"ALDH2",1,"turquoise"
"CYRIB",2,"blue"
"C3",6,"red"
"EMP2",1,"turquoise"
"SRSF6",3,"brown"
"TRIM41",0,"grey"
"POLE3",4,"yellow"
"TRIM2",0,"grey"
"DGLUCY",0,"grey"
"NELFE",8,"pink"
"UBR3",2,"blue"
"DNM1",0,"grey"
"HYOU1",5,"green"
"ZNF25",0,"grey"
"USP7",2,"blue"
"HNRNPR",0,"grey"
"CARMIL1",0,"grey"
"SERPING1",6,"red"
"TPCN1",0,"grey"
"ADI1",1,"turquoise"
"SLC35D2",3,"brown"
"RACGAP1",0,"grey"
"PSMD3",0,"grey"
"RAB35",0,"grey"
"ERLIN2",1,"turquoise"
"FKRP",1,"turquoise"
"HLA-DRA",4,"yellow"
"NLRP10",1,"turquoise"
"NIPBL",2,"blue"
"ZNF331",1,"turquoise"
"HMGN4",0,"grey"
"EIF3M",1,"turquoise"
"ZNF24",3,"brown"
"MICU1",0,"grey"
"ESRRA",0,"grey"
"FUCA2",0,"grey"
"EBPL",1,"turquoise"
"GMFG",0,"grey"
"PIK3AP1",15,"midnightblue"
"MBD5",0,"grey"
"PHLDA1",1,"turquoise"
"USP19",0,"grey"
"INO80D",0,"grey"
"KDM5A",2,"blue"
"SUV39H2",0,"grey"
"TMEM87B",3,"brown"
"AFAP1L1",0,"grey"
"ZNF549",1,"turquoise"
"ZBTB18",2,"blue"
"LSM12",1,"turquoise"
"MFAP5",0,"grey"
"CST3",0,"grey"
"WDR6",0,"grey"
"CD300A",2,"blue"
"VASH1",0,"grey"
"DHX16",0,"grey"
"CRPPA",0,"grey"
"SMIM30",0,"grey"
"SLC35A5",2,"blue"
"MIS18BP1",0,"grey"
"ARL2BP",4,"yellow"
"CD99",3,"brown"
"GLA",3,"brown"
"CCDC18",0,"grey"
"LYSMD2",0,"grey"
"STK40",2,"blue"
"PIGP",1,"turquoise"
"TMED9",0,"grey"
"UGT2B4",6,"red"
"PJA2",2,"blue"
"MGST1",6,"red"
"PHF1",0,"grey"
"FUBP1",0,"grey"
"KIAA0586",1,"turquoise"
"IL27RA",8,"pink"
"AAMDC",1,"turquoise"
"NOTCH2NLC",2,"blue"
"STMP1",3,"brown"
"CBX6",0,"grey"
"ASH1L",2,"blue"
"SHFL",0,"grey"
"RBM38",9,"magenta"
"TTC21B",1,"turquoise"
"DGKD",3,"brown"
"HNRNPUL2",0,"grey"
"ANKRD52",0,"grey"
"FAM83H",0,"grey"
"OPA1",0,"grey"
"TMEM140",3,"brown"
"IFI16",13,"salmon"
"CSTA",4,"yellow"
"USP4",1,"turquoise"
"NUAK1",4,"yellow"
"RALGPS1",0,"grey"
"NCOA3",0,"grey"
"CCDC6",0,"grey"
"MTHFD1",1,"turquoise"
"ZNF107",2,"blue"
"ALDH6A1",1,"turquoise"
"GRWD1",0,"grey"
"BCKDK",0,"grey"
"CTSB",1,"turquoise"
"ZFP36",2,"blue"
"RILPL1",1,"turquoise"
"CYHR1",0,"grey"
"SIRT2",0,"grey"
"ZNF417",5,"green"
"PHYKPL",0,"grey"
"CHAMP1",1,"turquoise"
"C1orf198",3,"brown"
"PGAM1",0,"grey"
"MEIS1",3,"brown"
"FAM114A2",0,"grey"
"NEDD4L",0,"grey"
"HDGFL3",1,"turquoise"
"ERCC1",1,"turquoise"
"CREBBP",2,"blue"
"BVES",1,"turquoise"
"PARK7",4,"yellow"
"KCNG4",1,"turquoise"
"TUBA1A",2,"blue"
"SELP",3,"brown"
"RARS2",1,"turquoise"
"LRBA",3,"brown"
"MEMO1",0,"grey"
"NAPB",0,"grey"
"KRT8",1,"turquoise"
"TMIGD2",1,"turquoise"
"TCEANC",1,"turquoise"
"HYPK",1,"turquoise"
"ZNF157",1,"turquoise"
"SH3BGRL2",3,"brown"
"ASPSCR1",1,"turquoise"
"FDFT1",0,"grey"
"MYL10",1,"turquoise"
"PTGS2",2,"blue"
"BMP7",1,"turquoise"
"CCDC90B",0,"grey"
"SPIDR",0,"grey"
"UBE2D3",2,"blue"
"SLC25A34",1,"turquoise"
"ARFGEF2",0,"grey"
"REXO1",0,"grey"
"NELFCD",0,"grey"
"ZNF561",1,"turquoise"
"COX7B",1,"turquoise"
"ATP6V1A",2,"blue"
"TRAPPC5",1,"turquoise"
"ZNF362",0,"grey"
"ANKRD17",0,"grey"
"ADH1C",6,"red"
"TGIF2",0,"grey"
"DNMT3A",8,"pink"
"FCAR",1,"turquoise"
"MTLN",1,"turquoise"
"TRIM35",0,"grey"
"LRCH4",0,"grey"
"SMCHD1",2,"blue"
"UBE2Q2",4,"yellow"
"PGGT1B",1,"turquoise"
"CCNDBP1",0,"grey"
"KCNN3",1,"turquoise"
"GLOD4",0,"grey"
"DPY19L3",1,"turquoise"
"SCCPDH",0,"grey"
"ZNF790",1,"turquoise"
"PRMT1",1,"turquoise"
"ITIH3",6,"red"
"TEX10",0,"grey"
"DENND2A",1,"turquoise"
"PIM3",2,"blue"
"KAT8",1,"turquoise"
"SRRT",0,"grey"
"DMTF1",0,"grey"
"GRM1",5,"green"
"H1-10",6,"red"
"IBA57",1,"turquoise"
"ACOT9",1,"turquoise"
"PDE4D",3,"brown"
"GRTP1",1,"turquoise"
"ITGB8",1,"turquoise"
"THEM4",1,"turquoise"
"TRANK1",2,"blue"
"UBE2K",0,"grey"
"GXYLT2",1,"turquoise"
"SLC19A1",2,"blue"
"LIMS1",3,"brown"
"MFAP3L",3,"brown"
"PIK3CD",1,"turquoise"
"DERL2",0,"grey"
"TINAGL1",0,"grey"
"DCUN1D2",0,"grey"
"ARPC1A",4,"yellow"
"CHST2",0,"grey"
"RUFY1",3,"brown"
"TXNDC12",0,"grey"
"BLOC1S5",0,"grey"
"TMEM259",0,"grey"
"PTGIR",3,"brown"
"ART4",0,"grey"
"ZC3H12C",3,"brown"
"ACAA2",1,"turquoise"
"FCMR",0,"grey"
"PIGK",5,"green"
"DAG1",0,"grey"
"C19orf38",0,"grey"
"PLOD2",3,"brown"
"TTC27",17,"grey60"
"TSPAN2",2,"blue"
"PI3",2,"blue"
"ZFAND6",3,"brown"
"ARID2",3,"brown"
"FAM91A1",2,"blue"
"CALM2",0,"grey"
"LINC00672",1,"turquoise"
"BROX",2,"blue"
"ZBTB4",0,"grey"
"GNA13",3,"brown"
"BNIPL",1,"turquoise"
"HUNK",1,"turquoise"
"B4GALT4",0,"grey"
"CHD1L",3,"brown"
"FUT8",3,"brown"
"WWP1",0,"grey"
"STAT1",2,"blue"
"POLR2M",0,"grey"
"MRFAP1",0,"grey"
"SSBP2",1,"turquoise"
"NME4",0,"grey"
"CARD16",2,"blue"
"IRF2BPL",0,"grey"
"CHMP4C",1,"turquoise"
"WEE1",0,"grey"
"APOF",5,"green"
"SSR4",4,"yellow"
"BBX",0,"grey"
"PDE7B",0,"grey"
"MS4A3",4,"yellow"
"RERE",0,"grey"
"CYTH4",2,"blue"
"COMMD8",0,"grey"
"TRIP11",3,"brown"
"TMEM268",1,"turquoise"
"FKBP8",9,"magenta"
"POT1",0,"grey"
"KIAA1109",2,"blue"
"PTPRC",2,"blue"
"CCT7",4,"yellow"
"HRNR",0,"grey"
"ZFX",0,"grey"
"RAB24",0,"grey"
"SLA2",0,"grey"
"SDS",1,"turquoise"
"CCDC174",0,"grey"
"SLC25A40",0,"grey"
"IRAK1BP1",0,"grey"
"FOXD2",0,"grey"
"IFFO1",0,"grey"
"ADARB1",0,"grey"
"HEBP1",0,"grey"
"UBASH3B",0,"grey"
"DTX2",5,"green"
"RABIF",0,"grey"
"DYRK3",0,"grey"
"PFAS",1,"turquoise"
"HNRNPD",4,"yellow"
"RPLP0",4,"yellow"
"RBM34",1,"turquoise"
"MKNK2",0,"grey"
"U2AF2",0,"grey"
"SEC16A",2,"blue"
"CPLANE1",0,"grey"
"ZNF44",1,"turquoise"
"YWHAG",0,"grey"
"IGF2BP2",9,"magenta"
"UTP25",1,"turquoise"
"CCR6",1,"turquoise"
"NEK5",1,"turquoise"
"PUM2",2,"blue"
"ALG10B",0,"grey"
"PHC1",0,"grey"
"SYNE3",1,"turquoise"
"PPP3CB",0,"grey"
"ANGPTL4",1,"turquoise"
"EMC2",1,"turquoise"
"LSM14B",0,"grey"
"ACOT13",1,"turquoise"
"ZNF493",1,"turquoise"
"ELOA",0,"grey"
"NGEF",5,"green"
"FAM102A",0,"grey"
"SPPL2A",1,"turquoise"
"SFXN1",1,"turquoise"
"TBCE",1,"turquoise"
"MAPK1",2,"blue"
"ATP9A",3,"brown"
"CTRC",1,"turquoise"
"TRIM34",0,"grey"
"RNF216",0,"grey"
"SBF1",0,"grey"
"USP46",0,"grey"
"UGGT2",1,"turquoise"
"LILRB3",1,"turquoise"
"SPI1",2,"blue"
"DCAF6",0,"grey"
"SF3A1",13,"salmon"
"BLVRA",0,"grey"
"DAZAP2",2,"blue"
"IKBKB",0,"grey"
"FRG1",0,"grey"
"SDHAF2",0,"grey"
"ZNF706",15,"midnightblue"
"DOK1",0,"grey"
"PGAP1",1,"turquoise"
"FSCN1",0,"grey"
"TRIM66",0,"grey"
"SIRPA",2,"blue"
"RELCH",0,"grey"
"TYW5",1,"turquoise"
"SRD5A1",1,"turquoise"
"TASOR",0,"grey"
"PABIR3",5,"green"
"ZNF142",0,"grey"
"ANKHD1",2,"blue"
"VPS37A",0,"grey"
"BAZ2B",13,"salmon"
"BRD7",13,"salmon"
"GCOM1",3,"brown"
"NISCH",0,"grey"
"TAX1BP3",3,"brown"
"RPL34",4,"yellow"
"MARK2",2,"blue"
"AKAP12",0,"grey"
"CEP85L",0,"grey"
"ATF2",0,"grey"
"ARL6IP5",3,"brown"
"CCNT1",2,"blue"
"DYNLL1",17,"grey60"
"LIPG",8,"pink"
"PHACTR2",5,"green"
"DENND6A",0,"grey"
"MAPK8",0,"grey"
"CCDC38",1,"turquoise"
"RBBP8",0,"grey"
"DNAJC8",0,"grey"
"HDAC8",1,"turquoise"
"STARD4",0,"grey"
"ACVR1",3,"brown"
"KLB",1,"turquoise"
"ZFYVE28",8,"pink"
"NSUN6",0,"grey"
"CCDC91",5,"green"
"PSMB4",4,"yellow"
"XPNPEP3",1,"turquoise"
"SART1",0,"grey"
"CLEC17A",1,"turquoise"
"SPTA1",0,"grey"
"PCMTD1",3,"brown"
"MAPK13",1,"turquoise"
"GTF2B",0,"grey"
"GSPT1",9,"magenta"
"GUSB",0,"grey"
"EXTL3",1,"turquoise"
"TMEM97",1,"turquoise"
"SUZ12",2,"blue"
"PI4K2B",0,"grey"
"KRT18",6,"red"
"MRPS16",1,"turquoise"
"CDK5RAP3",0,"grey"
"YTHDF2",0,"grey"
"GGCX",1,"turquoise"
"ARPC4",0,"grey"
"EGLN2",0,"grey"
"ZFP2",1,"turquoise"
"CNIH4",0,"grey"
"HTATSF1",0,"grey"
"TTC22",1,"turquoise"
"CHCHD10",6,"red"
"DCPS",1,"turquoise"
"SH2D1B",4,"yellow"
"NUP107",5,"green"
"OSBPL9",0,"grey"
"PDE4B",2,"blue"
"PLIN5",14,"cyan"
"IDH3G",0,"grey"
"MAPRE2",0,"grey"
"ARFGAP3",0,"grey"
"IL1RN",2,"blue"
"KIF13A",2,"blue"
"TMEM14B",1,"turquoise"
"ADIPOR1",9,"magenta"
"GRINA",9,"magenta"
"CLIP4",1,"turquoise"
"TFPI",3,"brown"
"NACC1",0,"grey"
"CD209",1,"turquoise"
"DNTTIP2",1,"turquoise"
"CFAP107",1,"turquoise"
"TAF3",13,"salmon"
"LCP2",2,"blue"
"ABHD17B",0,"grey"
"MKI67",6,"red"
"GLS",0,"grey"
"KANK2",0,"grey"
"IL4R",0,"grey"
"SEC11A",4,"yellow"
"C18orf32",1,"turquoise"
"CLSPN",1,"turquoise"
"TM4SF1",4,"yellow"
"SMG7",0,"grey"
"EMILIN2",0,"grey"
"GINM1",1,"turquoise"
"ANKRD13A",2,"blue"
"VASP",0,"grey"
"C16orf87",1,"turquoise"
"SYPL1",0,"grey"
"COA8",1,"turquoise"
"SDE2",1,"turquoise"
"RPS27L",1,"turquoise"
"TATDN3",1,"turquoise"
"MCUR1",1,"turquoise"
"MIPOL1",1,"turquoise"
"OR51D1",0,"grey"
"LAMP2",2,"blue"
"CAT",0,"grey"
"ZNF746",2,"blue"
"ATXN1",2,"blue"
"CPOX",0,"grey"
"APH1B",2,"blue"
"CTNND1",6,"red"
"GABRG2",1,"turquoise"
"F5",2,"blue"
"SEMA4F",1,"turquoise"
"NUDCD3",0,"grey"
"GCNT3",1,"turquoise"
"CNDP1",1,"turquoise"
"N4BP1",2,"blue"
"SLC35F2",1,"turquoise"
"LCP1",2,"blue"
"IGBP1",0,"grey"
"DCAKD",1,"turquoise"
"PITRM1",0,"grey"
"RASSF8",0,"grey"
"GUK1",9,"magenta"
"ADM",2,"blue"
"FGD3",2,"blue"
"RHPN2",1,"turquoise"
"DOC2B",1,"turquoise"
"VPS72",0,"grey"
"SERF2",3,"brown"
"CD22",0,"grey"
"CD47",3,"brown"
"IMPDH1",0,"grey"
"PRKACA",0,"grey"
"ASXL1",0,"grey"
"ZNF620",1,"turquoise"
"WHAMM",1,"turquoise"
"USO1",0,"grey"
"NUDT4",1,"turquoise"
"LDB1",0,"grey"
"ABCC1",3,"brown"
"SHLD2",0,"grey"
"PCBP2",4,"yellow"
"NUP205",0,"grey"
"ACTA1",0,"grey"
"WDR83OS",0,"grey"
"AGXT",6,"red"
"MMADHC",0,"grey"
"PIP5K1B",0,"grey"
"RNF181",0,"grey"
"AFTPH",2,"blue"
"NHSL2",2,"blue"
"FCER1G",0,"grey"
"DDX39B",0,"grey"
"SNTB1",0,"grey"
"SLC24A3",3,"brown"
"TXNL4B",1,"turquoise"
"SNRNP200",5,"green"
"TSGA13",8,"pink"
"KLF13",7,"black"
"FAM117B",0,"grey"
"AP5S1",1,"turquoise"
"PFKFB4",2,"blue"
"LRRC57",1,"turquoise"
"RNF11",3,"brown"
"PAGR1",0,"grey"
"POLD3",0,"grey"
"RAB18",2,"blue"
"JDP2",0,"grey"
"MORF4L1",4,"yellow"
"TMEM184C",0,"grey"
"POU2F1",0,"grey"
"CNNM2",1,"turquoise"
"ZC3H15",0,"grey"
"ELK3",3,"brown"
"GALNT1",2,"blue"
"SBNO1",2,"blue"
"ARCN1",0,"grey"
"PLEKHA5",1,"turquoise"
"TREML1",3,"brown"
"SEC24A",0,"grey"
"HIGD2A",4,"yellow"
"TTLL5",0,"grey"
"SGK3",0,"grey"
"INO80",0,"grey"
"ASB9",0,"grey"
"KICS2",1,"turquoise"
"TRAFD1",0,"grey"
"PEAR1",3,"brown"
"PGS1",2,"blue"
"HAP1",1,"turquoise"
"ACTG1",18,"lightgreen"
"HAVCR2",1,"turquoise"
"KRBOX5",0,"grey"
"LACTB",1,"turquoise"
"LPCAT1",2,"blue"
"CRYBG1",2,"blue"
"SYT15B",1,"turquoise"
"RBM28",1,"turquoise"
"HNRNPA1",4,"yellow"
"GIGYF1",11,"greenyellow"
"BCAS3",1,"turquoise"
"POLA2",1,"turquoise"
"ZC3H12B",1,"turquoise"
"RANBP9",3,"brown"
"EVL",0,"grey"
"PYCARD",0,"grey"
"ACSL4",2,"blue"
"TMEM176B",6,"red"
"RGPD6",0,"grey"
"SCO1",1,"turquoise"
"COMT",1,"turquoise"
"PDLIM5",1,"turquoise"
"GPR108",0,"grey"
"EFCAB11",1,"turquoise"
"LETMD1",4,"yellow"
"STT3B",0,"grey"
"TMEM63A",3,"brown"
"PITPNM1",0,"grey"
"TRIM68",1,"turquoise"
"MCTP1",1,"turquoise"
"FAM50A",0,"grey"
"RNASEH1",0,"grey"
"WLS",2,"blue"
"ERVK3-1",0,"grey"
"SMNDC1",0,"grey"
"CLPB",1,"turquoise"
"SLC30A9",0,"grey"
"CCDC25",0,"grey"
"OTUD1",2,"blue"
"YIF1B",1,"turquoise"
"NBN",8,"pink"
"ZSCAN18",0,"grey"
"JPT1",0,"grey"
"RAC1",3,"brown"
"MOB2",0,"grey"
"NFE2",3,"brown"
"GTF2A1",3,"brown"
"AGFG1",2,"blue"
"TC2N",3,"brown"
"S100P",0,"grey"
"MATR3",4,"yellow"
"CA13",0,"grey"
"DCK",0,"grey"
"SLC6A4",0,"grey"
"MID1IP1",1,"turquoise"
"ENSG00000260342",0,"grey"
"DOCK2",2,"blue"
"TUG1",2,"blue"
"NUP214",0,"grey"
